date,BTC_Reaper_Aggr_1_BTCUSD.a_H1_OHLC,BTC_Reaper_Aggr_2_BTCUSD.a_H1_OHLC,BTC_Reaper_Aggr_3_BTCUSD.a_H1_OHLC,BTC_Reaper_Aggr_4_BTCUSD.a_H1_OHLC,BTC_Reaper_Aggr_5_BTCUSD.a_H1_OHLC,BTC_Reaper_Aggr_6_BTCUSD.a_H1_OHLC,BTC_Reaper_Aggr_7_BTCUSD.a_H1_OHLC,BTC_Reaper_Aggr_8_BTCUSD.a_H1_OHLC,BTC_Reaper_Aggr_9_BTCUSD.a_H1_OHLC,BitcoinReaper10_BTCUSD.a_H1_OHLC,BitcoinReaper1_BTCUSD.a_H1_OHLC,BitcoinReaper2_BTCUSD.a_H1_OHLC,BitcoinReaper3_BTCUSD.a_H1_OHLC,BitcoinReaper4_BTCUSD.a_H1_OHLC,BitcoinReaper5_BTCUSD.a_H1_OHLC,BitcoinReaper6_BTCUSD.a_H1_OHLC,BitcoinReaper7_BTCUSD.a_H1_OHLC,BitcoinReaper8_BTCUSD.a_H1_OHLC,BitcoinReaper9_BTCUSD.a_H1_OHLC,BitcoinScalpPro_BTCUSD.a_H1_OHLC,DAX_M15_a_DE40.a_M15_OHLC,DAX_M15_c_DE40.a_M15_OHLC,DAX_M15_f_DE40.a_M15_OHLC,DaytradePro_AUDJPY_AUDJPY.a_Daily_OHLC,DaytradePro_AUDUSD_AUDUSD.a_Daily_OHLC,DaytradePro_CHFJPY_CHFJPY.a_Daily_OHLC,DaytradePro_EURAUD_EURAUD.a_Daily_OHLC,DaytradePro_EURJPY_EURJPY.a_Daily_OHLC,DaytradePro_EURNZD_EURNZD.a_Daily_OHLC,DaytradePro_EURUSD_EURUSD.a_Daily_OHLC,DaytradePro_GBPJPY_GBPJPY.a_Daily_OHLC,DaytradePro_GBPUSD_GBPUSD.a_Daily_OHLC,DaytradePro_NZDUSD_NZDUSD.a_Daily_OHLC,DaytradePro_USDCAD_USDCAD.a_Daily_OHLC,DaytradePro_USDJPY_USDJPY.a_Daily_OHLC,DaytradePro_XAUUSD_XAUUSD.a_Daily_OHLC,EURUSD_e_EURUSD.a_M15_OHLC,EURUSD_f_EURUSD.a_M15_OHLC,EURUSD_i_EURUSD.a_M15_OHLC,EURUSD_k_EURUSD.a_M15_OHLC,EURUSD_l_EURUSD.a_M15_OHLC,EURUSD_m_EURUSD.a_M15_OHLC,EURUSD_o_EURUSD.a_M15_OHLC,GOLDTRADEPROH4_b_XAUUSD.a_H4_OHLC,GOLDTRADEPRO_E_XAUUSD.a_Daily_OHLC,GOLDTRADEPRO_F_XAUUSD.a_Daily_OHLC,GOLDTRADEPRO_G_XAUUSD.a_Daily_OHLC,GOLDTRADEPRO_H_XAUUSD.a_Daily_OHLC,GOLDTRADEPRO_a_XAUUSD.a_Daily_OHLC,GOLDTRADEPRO_c_XAUUSD.a_Daily_OHLC,GOLDTRADEPRO_d_XAUUSD.a_Daily_OHLC,Gold_a_XAUUSD.a_Daily_OHLC,Gold_b_XAUUSD.a_Daily_OHLC,Gold_c_XAUUSD.a_Daily_OHLC,H1_B_BTCUSD.a_H1_OHLC,H1_C_BTCUSD.a_H1_OHLC,H1_E_BTCUSD.a_H1_OHLC,H1_F_BTCUSD.a_H1_OHLC,H1_H_BTCUSD.a_M15_OHLC,H1_J_BTCUSD.a_M15_OHLC,H1_M_BTCUSD.a_M15_OHLC,H1_O_BTCUSD.a_M15_OHLC,IND_US30_1_US30.a_Daily_OHLC,IND_US30_2_US30.a_Daily_OHLC,IND_US30_3_US30.a_Daily_OHLC,IND_US30_4_US30.a_Daily_OHLC,M5_C_XAUUSD.a_M5_OHLC,M5_E_XAUUSD.a_M5_OHLC,M5_G_XAUUSD.a_M5_OHLC,M5_H_XAUUSD.a_M5_OHLC,NAS_VOL_M15_A_USTEC.a_M15_OHLC,NAS_VOL_M15_B_USTEC.a_M15_OHLC,NAS_VOL_M15_C_USTEC.a_M15_OHLC,NAS_VOL_M15_D_USTEC.a_M15_OHLC,NAS_VOL_M15_E_USTEC.a_M15_OHLC,US100_1_USTEC.a_H1_OHLC,US100_2_USTEC.a_H1_OHLC,US100_3_USTEC.a_H1_OHLC,US100_4_USTEC.a_H1_OHLC,US30_1_US30.a_Daily_OHLC,US30_2_US30.a_Daily_OHLC,US30_3_US30.a_Daily_OHLC,US30_4_US30.a_Daily_OHLC,US30_M15_c_US30.a_M15_OHLC,US30_M15_f_US30.a_M15_OHLC,US30_M15_h_US30.a_M15_OHLC,US30_VOL_M15_a_US30.a_M15_OHLC,US30_VOL_M15_b_US30.a_M15_OHLC,US30_VOL_M15_c_US30.a_M15_OHLC,US30_VOL_M15_g_US30.a_M15_OHLC,US500_M15_a_US500.a_M15_OHLC,US500_M15_c_US500.a_M15_OHLC,US500_M15_d_US500.a_M15_OHLC,US500a_US500.a_H1_OHLC,US500b_US500.a_M15_OHLC,US500c_US500.a_M15_OHLC,US500d_US500.a_H1_OHLC,US500e_US500.a_Daily_OHLC,US500f_US500.a_Daily_OHLC,USTEC_M15_a_USTEC.a_M15_OHLC,USTEC_M15_e_USTEC.a_M15_OHLC,USTEC_M15_g_USTEC.a_M15_OHLC,VolUS500_a_US500.a_M15_OHLC,VolUS500_c_US500.a_M15_OHLC,VolUS500_g_US500.a_M15_OHLC,dailyA_XAUUSD.a_Daily_OHLC,dailyB_XAUUSD.a_Daily_OHLC,dailyC_XAUUSD.a_Daily_OHLC,dailyD_XAUUSD.a_Daily_OHLC,dailyE_XAUUSD.a_Daily_OHLC,dailyH_XAUUSD.a_Daily_OHLC,dailyI_XAUUSD.a_Daily_OHLC,dailyK_XAUUSD.a_Daily_OHLC,eurusd_H1_SL17_EURUSD.a_H1_OHLC,eurusd_H1_SL18_EURUSD.a_H1_OHLC,eurusd_H1_SL22_EURUSD.a_H1_OHLC,gbpusd_H1_GBPUSD.a_H1_OHLC,strategy1_Daily_XAUUSD.a_Daily_OHLC,strategy2_Daily_XAUUSD.a_Daily_OHLC,strategy3_Daily_XAUUSD.a_Daily_OHLC,strategy4_H4_XAUUSD.a_H4_OHLC,strategy5_H1_XAUUSD.a_H1_OHLC,strategy6_H1_XAUUSD.a_H1_OHLC,strategy7_H1_XAUUSD.a_H1_OHLC,strategy8_H1_XAUUSD.a_H1_OHLC,strategy9_H1_XAUUSD.a_H1_OHLC,usdjpy_H1_SL22_USDJPY.a_H1_OHLC,usdjpy_H1_SL30_USDJPY.a_H1_OHLC,usdjpy_H4_SL14_USDJPY.a_H4_OHLC,usdjpy_H4_SL17_USDJPY.a_H4_OHLC
2020-01-02,387.6,392.8,169.8,461.06,399.7,266.81,263.43,24.39,272.5,158.21,387.6,400.0,365.7,419.05,35.27,276.85,330.97,73.99,272.5,17.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.6,145.9,217.6,-518.5,-0.76,360.86,0.0,0.0,0.0,0.0,-99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1097.53,0.0,33.06,727.72,0.0,0.0,0.0,-99.6,0.0,0.0,-330.08,0.0,0.0,0.0,0.0,-230.55,0.0,0.0,136.09,0.0,-176.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,811.98,561.68,246.99,916.6,-11.12,66.76,246.91,116.92,135.16
2020-01-03,0.0,0.0,0.0,88.92,0.0,81.41,147.0,136.58,0.0,-86.02,0.0,0.0,0.0,13.99,0.0,-62.38,477.29,117.74,0.0,-123.08,647.57,-146.39,263.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1408.51,0.0,113.75,0.0,0.0,0.0,233.7,233.7,162.4,233.7,52.0,-115.06,-624.68,52.0,0.0,0.0,411.79,0.0,0.0,0.0,0.0,0.0,-557.14,0.0,0.0,0.0,-441.29,0.0,0.0,0.0,0.0,0.0,0.0,411.79,0.0,480.68,704.4,0.0,0.0,0.0,-14.01,-46.44,0.0,0.0,0.0,261.62,0.0,0.0,-816.27,-362.49,223.43,0.0,0.0,0.0,0.0,-294.36,165.26,846.39,0.0,0.0,0.0,0.0,286.81,415.52,487.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,148.64,15.55,116.14,117.57
2020-01-06,0.0,0.0,71.9,-85.48,0.0,246.33,0.0,172.13,264.2,339.42,0.0,0.0,354.6,416.98,0.0,360.0,-209.08,220.2,264.2,199.44,379.31,961.05,80.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.42,381.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2114.79,0.0,1985.0,0.0,1408.51,2231.84,844.29,0.0,1923.3,1258.14,0.0,0.0,130.3,199.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-232.34,-296.36,-137.68,0.0,-638.17,-483.14,-483.14,-761.32,-554.28,-616.14,149.18,-480.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-577.89,0.0,0.0,0.0,0.0,0.0,0.0,-22.04,0.0,0.0,0.0,0.0,0.0,0.0,828.91,0.0,0.0,0.0,0.0,848.81,2661.2,3447.15,2817.37,0.0,1134.32,911.62,1049.89,0.0,0.0,0.0,0.0,1196.27,5626.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-07,0.0,0.0,-109.4,92.09,0.0,0.0,0.0,152.06,0.0,-17.94,0.0,0.0,-143.2,234.98,0.0,10.34,33.82,476.53,0.0,-25.98,-256.58,-220.16,71.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.2,589.8,90.4,0.0,922.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-532.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-166.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.28,0.0,0.0,0.0,0.0
2020-01-08,0.0,0.0,0.0,34.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.92,0.0,0.0,0.0,0.0,0.0,0.0,83.03,26.48,91.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-250.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.9,292.8,373.8,225.1,197.93,0.0,0.0,443.72,-56.56,640.2,221.9,844.74,0.0,366.14,0.0,-167.98,-43.85,-43.85,-200.97,265.06,83.74,-472.69,33.37,939.31,443.72,-56.56,640.2,221.9,0.0,0.0,0.0,702.64,0.0,0.0,0.0,0.0,0.0,0.0,638.01,0.0,0.0,231.62,-281.05,172.79,0.0,0.0,0.0,0.0,-335.23,1257.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-239.43,41.87,106.64,82.56,0.0,0.0,0.0,943.25,55.05,52.38,26.68,-4.83,81.36,591.2,193.29,234.26,45.42
2020-01-09,0.0,0.0,0.0,59.63,0.0,0.0,0.0,0.0,0.0,-122.39,0.0,0.0,0.0,3.49,0.0,10.04,-175.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,0.0,216.8,263.55,0.0,0.0,98.9,0.0,0.0,0.0,450.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.32,0.0,0.0,0.0,0.0
2020-01-10,0.0,0.0,0.0,84.77,-174.58,349.76,168.91,238.3,0.0,-36.7,0.0,0.0,0.0,178.41,-355.13,354.74,-175.38,238.3,0.0,0.0,0.0,0.0,-156.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.86,623.1,-228.15,0.0,-140.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.86,623.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.09,0.0,0.0,0.0,135.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-13,0.0,0.0,0.0,-70.48,0.0,0.0,119.94,238.3,0.0,199.89,0.0,0.0,0.0,56.0,0.0,10.02,-305.91,238.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-166.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.36,82.06
2020-01-14,23.9,-15.1,34.3,325.96,-12.62,586.29,316.62,-4.83,295.9,5.91,23.9,-7.0,34.3,449.71,-33.18,364.95,823.62,96.38,295.9,16.03,331.6,674.33,279.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-139.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-271.89,0.0,0.0,242.7,-356.8,-146.1,-119.3,475.4,774.55,992.59,0.0,0.0,0.0,0.0,-100.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882.58,590.16,642.14,0.0,0.0,0.0,-100.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-230.51,-272.3,-299.73,108.7,-199.82,-176.31,0.0,0.0,0.0,0.0,0.0,492.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.96,285.1,-356.13,0.0,0.0,0.0,0.0,44.16,0.0,0.0,0.0,0.0,99.94,282.42,13.48,-2.42,206.64,0.0,0.0,0.0,0.0
2020-01-15,0.0,0.0,-54.0,-112.17,0.0,0.0,0.0,-395.12,0.0,-199.57,0.0,0.0,-81.3,-24.45,0.0,9.97,-452.48,-242.49,0.0,-285.25,0.0,0.0,-184.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-941.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-240.95,-30.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-663.08,0.0,-499.07,0.0,0.0,0.0,-240.95,-30.87,0.0,349.46,200.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-306.74,0.0,-176.34,84.44,0.0,0.0,0.0,-166.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-615.81,112.47,88.51,159.27,0.0,0.0,0.0,0.0,-723.75,0.0,0.0,0.0,0.0,-5.48,0.0,0.0,0.0,0.0
