ea_id,strategy,family,symbol,timeframe,force_symbol,run_strategy,balance,risk_pct_target,hist_max_dd,lot_step,net_profit,realized_dd,realized_dd_pct,equity_dd_pct,trades,first_trade,last_trade,win_rate_pct,hist_max_loss_streak,hist_max_loss_streak_days,hist_max_streak_cost,hist_avg_loss_streak,hist_max_win_streak,largest_single_loss,dd_vs_target,report_path
eurusd_H1_SL17_EURUSD.a_H1_OHLC,eurusd_H1_SL17,Advanced Scalper,EURUSD.a,H1,EURUSD.a,1,100000,5.0,36.0,720.0,23641.88,1972.35,1.64,1.69,1146,2020-01-08 11:38:40,2026-07-30 13:16:59,89.5,3,3,718.29,1.11,66,250.81,0.33,C:\BulkBackTest\EA_Portfolio_engine\reports_in\Advanced Scalper\reports\eurusd_H1_SL17_EURUSD.a_H1_OHLC.htm
eurusd_H1_SL18_EURUSD.a_H1_OHLC,eurusd_H1_SL18,Advanced Scalper,EURUSD.a,H1,EURUSD.a,1,100000,5.0,47.0,940.0,20925.52,1666.31,1.38,1.51,1172,2020-01-08 13:21:59,2026-07-30 13:16:59,90.6,3,3,577.17,1.16,83,203.25,0.28,C:\BulkBackTest\EA_Portfolio_engine\reports_in\Advanced Scalper\reports\eurusd_H1_SL18_EURUSD.a_H1_OHLC.htm
eurusd_H1_SL22_EURUSD.a_H1_OHLC,eurusd_H1_SL22,Advanced Scalper,EURUSD.a,H1,EURUSD.a,1,100000,5.0,18.0,360.0,59895.7,2817.42,1.98,2.09,1141,2020-01-08 13:21:59,2026-07-30 13:16:59,92.8,3,3,1843.45,1.09,53,687.6,0.4,C:\BulkBackTest\EA_Portfolio_engine\reports_in\Advanced Scalper\reports\eurusd_H1_SL22_EURUSD.a_H1_OHLC.htm
gbpusd_H1_GBPUSD.a_H1_OHLC,gbpusd_H1,Advanced Scalper,GBPUSD.a,H1,GBPUSD.a,1,100000,5.0,13.0,260.0,103280.76,2263.68,1.19,1.25,990,2020-01-08 12:01:40,2026-07-30 13:16:59,94.4,2,2,1701.12,1.06,79,866.83,0.24,C:\BulkBackTest\EA_Portfolio_engine\reports_in\Advanced Scalper\reports\gbpusd_H1_GBPUSD.a_H1_OHLC.htm
usdjpy_H1_SL22_USDJPY.a_H1_OHLC,usdjpy_H1_SL22,Advanced Scalper,USDJPY.a,H1,USDJPY.a,1,100000,5.0,16.0,320.0,119306.19,1638.09,1.46,4.13,1618,2020-01-02 17:26:20,2026-07-30 16:36:59,90.6,3,2,1422.59,1.09,52,664.7,0.29,C:\BulkBackTest\EA_Portfolio_engine\reports_in\Advanced Scalper\reports\usdjpy_H1_SL22_USDJPY.a_H1_OHLC.htm
usdjpy_H1_SL30_USDJPY.a_H1_OHLC,usdjpy_H1_SL30,Advanced Scalper,USDJPY.a,H1,USDJPY.a,1,100000,5.0,28.0,560.0,56260.26,1291.26,1.16,3.15,1568,2020-01-02 17:36:40,2026-07-30 16:36:59,82.2,4,3,999.26,1.2,47,512.87,0.23,C:\BulkBackTest\EA_Portfolio_engine\reports_in\Advanced Scalper\reports\usdjpy_H1_SL30_USDJPY.a_H1_OHLC.htm
usdjpy_H4_SL14_USDJPY.a_H4_OHLC,usdjpy_H4_SL14,Advanced Scalper,USDJPY.a,H4,USDJPY.a,1,100000,5.0,34.0,680.0,40660.85,3021.53,2.74,2.61,1610,2020-01-02 17:28:20,2026-07-30 13:10:59,62.2,6,5,1118.52,1.6,14,214.35,0.55,C:\BulkBackTest\EA_Portfolio_engine\reports_in\Advanced Scalper\reports\usdjpy_H4_SL14_USDJPY.a_H4_OHLC.htm
usdjpy_H4_SL17_USDJPY.a_H4_OHLC,usdjpy_H4_SL17,Advanced Scalper,USDJPY.a,H4,USDJPY.a,1,100000,5.0,69.0,1380.0,22516.15,864.04,0.83,1.42,1619,2020-01-02 17:52:40,2026-07-30 13:16:59,57.7,6,7,336.74,1.72,14,142.36,0.17,C:\BulkBackTest\EA_Portfolio_engine\reports_in\Advanced Scalper\reports\usdjpy_H4_SL17_USDJPY.a_H4_OHLC.htm
BTC_Reaper_Aggr_1_BTCUSD.a_H1_OHLC,BTC_Reaper_Aggr_1,Bitcoin Reaper/Aggressive SL,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,54.0,1080.0,129948.34,2006.0,0.96,1.35,719,2020-01-02 18:47:59,2026-07-30 14:52:40,80.3,4,5,1775.55,1.3,27,925.29,0.19,C:\BulkBackTest\EA_Portfolio_engine\reports_in\Bitcoin Reaper\Aggressive SL\reports\BTC_Reaper_Aggr_1_BTCUSD.a_H1_OHLC.htm
BTC_Reaper_Aggr_2_BTCUSD.a_H1_OHLC,BTC_Reaper_Aggr_2,Bitcoin Reaper/Aggressive SL,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,40.0,800.0,87581.19,1159.98,0.64,3.95,513,2020-01-02 18:47:59,2026-07-28 02:00:59,63.0,5,7,748.56,1.61,23,187.5,0.13,C:\BulkBackTest\EA_Portfolio_engine\reports_in\Bitcoin Reaper\Aggressive SL\reports\BTC_Reaper_Aggr_2_BTCUSD.a_H1_OHLC.htm
BTC_Reaper_Aggr_3_BTCUSD.a_H1_OHLC,BTC_Reaper_Aggr_3,Bitcoin Reaper/Aggressive SL,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,50.0,1000.0,143428.02,858.24,0.38,14.12,1323,2020-01-02 18:49:40,2026-07-30 14:52:40,61.0,7,6,550.16,1.67,13,100.0,0.08,C:\BulkBackTest\EA_Portfolio_engine\reports_in\Bitcoin Reaper\Aggressive SL\reports\BTC_Reaper_Aggr_3_BTCUSD.a_H1_OHLC.htm
BTC_Reaper_Aggr_4_BTCUSD.a_H1_OHLC,BTC_Reaper_Aggr_4,Bitcoin Reaper/Aggressive SL,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,285.0,5700.0,146273.44,2993.79,1.65,1.8,10787,2020-01-02 05:51:40,2026-07-30 16:49:59,87.2,7,9,1204.6,1.35,60,197.47,0.33,C:\BulkBackTest\EA_Portfolio_engine\reports_in\Bitcoin Reaper\Aggressive SL\reports\BTC_Reaper_Aggr_4_BTCUSD.a_H1_OHLC.htm
BTC_Reaper_Aggr_5_BTCUSD.a_H1_OHLC,BTC_Reaper_Aggr_5,Bitcoin Reaper/Aggressive SL,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,130.0,2600.0,70051.42,5938.25,4.92,5.13,1334,2020-01-02 19:01:40,2026-07-30 17:18:40,48.5,9,9,2422.56,2.54,11,425.24,0.98,C:\BulkBackTest\EA_Portfolio_engine\reports_in\Bitcoin Reaper\Aggressive SL\reports\BTC_Reaper_Aggr_5_BTCUSD.a_H1_OHLC.htm
