entity,type,indicator,state,days,total_pnl,avg_daily,sharpe,pnl_share_pct
BTC_Reaper_Aggr_1_BTCUSD.a_H1_OHLC,ea,DXY,strong dollar,965,71941.79,74.55,4.64,55.5
BTC_Reaper_Aggr_1_BTCUSD.a_H1_OHLC,ea,DXY,weak dollar,854,57618.95,67.47,4.62,44.5
BTC_Reaper_Aggr_1_BTCUSD.a_H1_OHLC,ea,SP500,stocks bear,379,23738.29,62.63,3.88,18.5
BTC_Reaper_Aggr_1_BTCUSD.a_H1_OHLC,ea,SP500,stocks bull,1388,104547.85,75.32,4.95,81.5
BTC_Reaper_Aggr_1_BTCUSD.a_H1_OHLC,ea,GOLD,gold downtrend,432,39917.79,92.4,5.38,31.1
BTC_Reaper_Aggr_1_BTCUSD.a_H1_OHLC,ea,GOLD,gold uptrend,1335,88368.35,66.19,4.48,68.9
BTC_Reaper_Aggr_1_BTCUSD.a_H1_OHLC,ea,BTC,crypto bear,767,54122.97,70.56,4.41,41.8
BTC_Reaper_Aggr_1_BTCUSD.a_H1_OHLC,ea,BTC,crypto bull,1052,75437.77,71.71,4.8,58.2
BTC_Reaper_Aggr_1_BTCUSD.a_H1_OHLC,ea,US10Y,rates falling,703,48719.56,69.3,4.83,37.6
BTC_Reaper_Aggr_1_BTCUSD.a_H1_OHLC,ea,US10Y,rates rising,1116,80841.18,72.44,4.52,62.4
BTC_Reaper_Aggr_1_BTCUSD.a_H1_OHLC,ea,OIL,oil downtrend,926,62567.76,67.57,4.66,48.8
BTC_Reaper_Aggr_1_BTCUSD.a_H1_OHLC,ea,OIL,oil uptrend,841,65718.38,78.14,4.78,51.2
BTC_Reaper_Aggr_1_BTCUSD.a_H1_OHLC,ea,VIX,calm,318,22295.34,70.11,4.19,17.2
BTC_Reaper_Aggr_1_BTCUSD.a_H1_OHLC,ea,VIX,normal,1131,78172.49,69.12,4.89,60.3
BTC_Reaper_Aggr_1_BTCUSD.a_H1_OHLC,ea,VIX,stressed,370,29092.91,78.63,4.44,22.5
BTC_Reaper_Aggr_2_BTCUSD.a_H1_OHLC,ea,DXY,strong dollar,963,49029.5,50.91,3.95,56.2
BTC_Reaper_Aggr_2_BTCUSD.a_H1_OHLC,ea,DXY,weak dollar,854,38158.89,44.68,4.1,43.8
BTC_Reaper_Aggr_2_BTCUSD.a_H1_OHLC,ea,SP500,stocks bear,379,16319.41,43.06,4.01,19.0
BTC_Reaper_Aggr_2_BTCUSD.a_H1_OHLC,ea,SP500,stocks bull,1386,69474.38,50.13,4.02,81.0
BTC_Reaper_Aggr_2_BTCUSD.a_H1_OHLC,ea,GOLD,gold downtrend,430,24786.43,57.64,4.15,28.9
BTC_Reaper_Aggr_2_BTCUSD.a_H1_OHLC,ea,GOLD,gold uptrend,1335,61007.36,45.7,3.98,71.1
BTC_Reaper_Aggr_2_BTCUSD.a_H1_OHLC,ea,BTC,crypto bear,765,38549.02,50.39,3.96,44.2
BTC_Reaper_Aggr_2_BTCUSD.a_H1_OHLC,ea,BTC,crypto bull,1052,48639.37,46.24,4.04,55.8
BTC_Reaper_Aggr_2_BTCUSD.a_H1_OHLC,ea,US10Y,rates falling,703,34643.82,49.28,4.25,39.7
BTC_Reaper_Aggr_2_BTCUSD.a_H1_OHLC,ea,US10Y,rates rising,1114,52544.57,47.17,3.85,60.3
BTC_Reaper_Aggr_2_BTCUSD.a_H1_OHLC,ea,OIL,oil downtrend,926,40133.47,43.34,4.03,46.8
BTC_Reaper_Aggr_2_BTCUSD.a_H1_OHLC,ea,OIL,oil uptrend,839,45660.32,54.42,4.05,53.2
BTC_Reaper_Aggr_2_BTCUSD.a_H1_OHLC,ea,VIX,calm,318,20372.41,64.06,4.37,23.4
BTC_Reaper_Aggr_2_BTCUSD.a_H1_OHLC,ea,VIX,normal,1129,45226.79,40.06,3.75,51.9
BTC_Reaper_Aggr_2_BTCUSD.a_H1_OHLC,ea,VIX,stressed,370,21589.19,58.35,4.47,24.8
BTC_Reaper_Aggr_3_BTCUSD.a_H1_OHLC,ea,DXY,strong dollar,965,89478.44,92.72,6.89,62.5
BTC_Reaper_Aggr_3_BTCUSD.a_H1_OHLC,ea,DXY,weak dollar,854,53779.78,62.97,5.37,37.5
BTC_Reaper_Aggr_3_BTCUSD.a_H1_OHLC,ea,SP500,stocks bear,379,31743.41,83.76,6.43,22.4
BTC_Reaper_Aggr_3_BTCUSD.a_H1_OHLC,ea,SP500,stocks bull,1388,110161.61,79.37,6.21,77.6
BTC_Reaper_Aggr_3_BTCUSD.a_H1_OHLC,ea,GOLD,gold downtrend,432,40248.75,93.17,6.98,28.4
BTC_Reaper_Aggr_3_BTCUSD.a_H1_OHLC,ea,GOLD,gold uptrend,1335,101656.27,76.15,6.02,71.6
