entity,type,indicator,fill_trust,state,days,total_pnl,avg_daily,sharpe,pnl_share_pct
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_REALTICKS,ea,DXY,real,strong dollar,987,10317.51,10.45,1.94,57.2
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_REALTICKS,ea,DXY,real,weak dollar,891,7721.73,8.67,1.57,42.8
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_REALTICKS,ea,SP500,real,stocks bear,379,11259.42,29.71,5.1,61.3
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_REALTICKS,ea,SP500,real,stocks bull,1396,7107.55,5.09,0.95,38.7
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_REALTICKS,ea,GOLD,real,gold downtrend,439,6984.52,15.91,3.05,38.0
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_REALTICKS,ea,GOLD,real,gold uptrend,1336,11382.45,8.52,1.52,62.0
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_REALTICKS,ea,BTC,real,crypto bear,785,10423.45,13.28,2.25,58.2
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_REALTICKS,ea,BTC,real,crypto bull,1053,7478.46,7.1,1.38,41.8
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_REALTICKS,ea,US10Y,real,rates falling,716,6164.75,8.61,1.56,34.2
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_REALTICKS,ea,US10Y,real,rates rising,1162,11874.49,10.22,1.89,65.8
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_REALTICKS,ea,OIL,real,oil downtrend,928,9694.05,10.45,1.9,52.8
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_REALTICKS,ea,OIL,real,oil uptrend,847,8672.92,10.24,1.86,47.2
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_REALTICKS,ea,VIX,real,calm,405,-593.73,-1.47,-0.29,-3.5
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_REALTICKS,ea,VIX,real,normal,1204,7171.38,5.96,1.08,42.3
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_REALTICKS,ea,VIX,real,stressed,370,10366.56,28.02,4.97,61.2
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_REALTICKS,ea,DXY,real,strong dollar,987,14299.73,14.49,1.91,46.6
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_REALTICKS,ea,DXY,real,weak dollar,891,16375.38,18.38,2.5,53.4
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_REALTICKS,ea,SP500,real,stocks bear,379,13769.39,36.33,4.53,44.5
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_REALTICKS,ea,SP500,real,stocks bull,1396,17147.59,12.28,1.66,55.5
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_REALTICKS,ea,GOLD,real,gold downtrend,439,9164.23,20.88,2.86,29.6
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_REALTICKS,ea,GOLD,real,gold uptrend,1336,21752.75,16.28,2.13,70.4
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_REALTICKS,ea,BTC,real,crypto bear,785,14134.49,18.01,2.42,46.4
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_REALTICKS,ea,BTC,real,crypto bull,1053,16324.97,15.5,2.04,53.6
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_REALTICKS,ea,US10Y,real,rates falling,716,13984.5,19.53,2.82,45.6
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_REALTICKS,ea,US10Y,real,rates rising,1162,16690.61,14.36,1.84,54.4
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_REALTICKS,ea,OIL,real,oil downtrend,928,18718.79,20.17,2.71,60.5
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_REALTICKS,ea,OIL,real,oil uptrend,847,12198.19,14.4,1.88,39.5
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_REALTICKS,ea,VIX,real,calm,405,3208.9,7.92,1.19,10.3
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_REALTICKS,ea,VIX,real,normal,1204,13920.13,11.56,1.52,44.9
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_REALTICKS,ea,VIX,real,stressed,370,13876.13,37.5,4.87,44.8
AdvScalp_eurusd_H1_SL18_EURUSD.a_H1_REALTICKS,ea,DXY,real,strong dollar,987,11517.16,11.67,2.76,58.7
AdvScalp_eurusd_H1_SL18_EURUSD.a_H1_REALTICKS,ea,DXY,real,weak dollar,891,8101.57,9.09,1.92,41.3
AdvScalp_eurusd_H1_SL18_EURUSD.a_H1_REALTICKS,ea,SP500,real,stocks bear,379,9834.15,25.95,4.53,50.6
AdvScalp_eurusd_H1_SL18_EURUSD.a_H1_REALTICKS,ea,SP500,real,stocks bull,1396,9585.28,6.87,1.66,49.4
AdvScalp_eurusd_H1_SL18_EURUSD.a_H1_REALTICKS,ea,GOLD,real,gold downtrend,439,5907.12,13.46,3.94,30.4
