date,GoldBotOne_Pkg,GoldPhantom_Pkg_Conservative,GoldPhantom_Pkg_ExtremeConservative,GoldPhantom_Pkg_Moderate,GoldReaper_Pkg_Conservative,GoldReaper_Pkg_ExtremeConservative,GoldReaper_Pkg_Intense,GoldReaper_Pkg_Moderate,GoldTradePro_Pkg
2018-01-02,-6.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-03,-36.49,-37.17,-43.37,-30.98,0.0,0.0,0.0,0.0,0.0
2018-01-04,0.0,8.4,0.0,94.03,262.73,0.0,235.83,403.32,0.0
2018-01-05,0.0,0.0,0.0,-2.69,0.0,0.0,-23.75,0.0,0.0
2018-01-09,0.0,-11.91,0.0,-11.52,0.0,0.0,0.0,0.0,0.0
2018-01-10,-648.67,-490.7,-449.33,-445.76,-620.37,-402.2,-787.75,-364.71,-419.91
2018-01-12,-10.07,-55.3,-77.62,-28.98,14.61,-47.98,48.36,115.21,0.0
2018-01-17,0.0,-54.14,0.0,-142.59,125.98,0.0,-77.91,108.19,0.0
2018-01-23,0.0,-41.95,0.0,-71.75,29.92,0.0,6.72,42.12,0.0
2018-01-24,575.06,234.69,0.0,303.18,1156.46,1279.25,1511.89,1259.29,474.53
2018-01-25,215.21,663.44,817.01,579.04,813.09,545.33,339.35,297.88,126.99
2018-01-29,0.0,20.4,0.0,24.8,-17.22,0.0,63.97,41.87,0.0
2018-01-31,0.0,-55.34,0.0,-38.0,-441.83,0.0,-516.55,-798.44,0.0
2018-02-01,0.0,10.02,0.0,-24.19,0.0,0.0,15.29,25.61,0.0
2018-02-02,0.0,25.13,0.0,45.33,129.03,0.0,238.82,213.03,0.0
2018-02-06,40.49,-47.28,0.0,-47.28,-38.17,0.0,-86.07,-71.63,-32.16
2018-02-07,-56.5,-163.64,-123.66,-128.92,0.0,0.0,0.0,0.0,0.0
2018-02-08,-253.47,21.0,109.92,60.52,0.0,0.0,0.0,0.0,-28.6
2018-02-12,0.0,11.29,0.0,22.76,0.0,0.0,15.1,16.49,0.0
2018-02-13,0.0,-8.38,0.0,-7.76,17.83,0.0,18.74,46.73,0.0
2018-02-14,43.01,0.0,0.0,-0.08,27.85,0.0,90.76,18.44,33.99
2018-02-15,0.0,0.0,0.0,-14.5,0.0,0.0,0.0,0.0,0.0
2018-02-16,63.51,-79.17,-69.67,-61.35,0.0,0.0,0.0,0.0,0.0
2018-02-20,0.0,0.0,0.0,25.0,123.69,0.0,171.99,81.93,0.0
