entity,type,indicator,state,days,total_pnl,avg_daily,sharpe,pnl_share_pct
GoldBotOne_Pkg,ea,DXY,strong dollar,590,26236.84,44.47,2.76,50.6
GoldBotOne_Pkg,ea,DXY,weak dollar,516,25639.07,49.69,2.76,49.4
GoldBotOne_Pkg,ea,SP500,stocks bear,216,11490.57,53.2,2.85,23.4
GoldBotOne_Pkg,ea,SP500,stocks bull,821,37593.99,45.79,2.8,76.6
GoldBotOne_Pkg,ea,GOLD,gold downtrend,272,9655.81,35.5,2.04,19.7
GoldBotOne_Pkg,ea,GOLD,gold uptrend,765,39428.75,51.54,3.09,80.3
GoldBotOne_Pkg,ea,BTC,crypto bear,456,19690.88,43.18,2.36,37.1
GoldBotOne_Pkg,ea,BTC,crypto bull,622,33390.93,53.68,3.33,62.9
GoldBotOne_Pkg,ea,US10Y,rates falling,413,24243.23,58.7,3.46,46.7
GoldBotOne_Pkg,ea,US10Y,rates rising,693,27632.68,39.87,2.34,53.3
GoldBotOne_Pkg,ea,OIL,oil downtrend,522,26148.29,50.09,3.2,53.3
GoldBotOne_Pkg,ea,OIL,oil uptrend,515,22936.27,44.54,2.47,46.7
GoldBotOne_Pkg,ea,VIX,calm,258,11447.68,44.37,2.51,20.7
GoldBotOne_Pkg,ea,VIX,normal,679,35653.58,52.51,3.23,64.5
GoldBotOne_Pkg,ea,VIX,stressed,228,8193.05,35.93,1.99,14.8
GoldPhantom_Pkg_Conservative,ea,DXY,strong dollar,591,37973.48,64.25,3.17,46.4
GoldPhantom_Pkg_Conservative,ea,DXY,weak dollar,516,43822.85,84.93,3.15,53.6
GoldPhantom_Pkg_Conservative,ea,SP500,stocks bear,216,16141.55,74.73,3.63,20.9
GoldPhantom_Pkg_Conservative,ea,SP500,stocks bull,822,61176.31,74.42,3.18,79.1
GoldPhantom_Pkg_Conservative,ea,GOLD,gold downtrend,272,13438.34,49.41,2.54,17.4
GoldPhantom_Pkg_Conservative,ea,GOLD,gold uptrend,766,63879.52,83.39,3.49,82.6
GoldPhantom_Pkg_Conservative,ea,BTC,crypto bear,457,30033.96,65.72,2.74,35.9
GoldPhantom_Pkg_Conservative,ea,BTC,crypto bull,622,53619.31,86.2,3.67,64.1
GoldPhantom_Pkg_Conservative,ea,US10Y,rates falling,413,38582.29,93.42,3.68,47.2
GoldPhantom_Pkg_Conservative,ea,US10Y,rates rising,694,43214.04,62.27,2.77,52.8
GoldPhantom_Pkg_Conservative,ea,OIL,oil downtrend,522,45163.03,86.52,3.73,58.4
GoldPhantom_Pkg_Conservative,ea,OIL,oil uptrend,516,32154.83,62.32,2.78,41.6
GoldPhantom_Pkg_Conservative,ea,VIX,calm,259,19020.32,73.44,2.7,22.0
GoldPhantom_Pkg_Conservative,ea,VIX,normal,679,54013.84,79.55,3.42,62.4
GoldPhantom_Pkg_Conservative,ea,VIX,stressed,228,13551.04,59.43,2.84,15.7
GoldPhantom_Pkg_ExtremeConservative,ea,DXY,strong dollar,590,29815.01,50.53,2.69,45.3
GoldPhantom_Pkg_ExtremeConservative,ea,DXY,weak dollar,516,36043.93,69.85,2.54,54.7
GoldPhantom_Pkg_ExtremeConservative,ea,SP500,stocks bear,216,10026.89,46.42,2.51,16.5
GoldPhantom_Pkg_ExtremeConservative,ea,SP500,stocks bull,821,50899.77,62.0,2.74,83.5
GoldPhantom_Pkg_ExtremeConservative,ea,GOLD,gold downtrend,272,9962.55,36.63,2.05,16.4
GoldPhantom_Pkg_ExtremeConservative,ea,GOLD,gold uptrend,765,50964.11,66.62,2.89,83.6
GoldPhantom_Pkg_ExtremeConservative,ea,BTC,crypto bear,456,20660.31,45.31,1.99,30.4
GoldPhantom_Pkg_ExtremeConservative,ea,BTC,crypto bull,622,47228.89,75.93,3.19,69.6
GoldPhantom_Pkg_ExtremeConservative,ea,US10Y,rates falling,413,32678.31,79.12,3.08,49.6
GoldPhantom_Pkg_ExtremeConservative,ea,US10Y,rates rising,693,33180.63,47.88,2.21,50.4
GoldPhantom_Pkg_ExtremeConservative,ea,OIL,oil downtrend,522,35358.13,67.74,3.14,58.0
GoldPhantom_Pkg_ExtremeConservative,ea,OIL,oil uptrend,515,25568.53,49.65,2.25,42.0
GoldPhantom_Pkg_ExtremeConservative,ea,VIX,calm,258,17733.36,68.73,2.35,24.9
GoldPhantom_Pkg_ExtremeConservative,ea,VIX,normal,679,44402.31,65.39,2.97,62.4
GoldPhantom_Pkg_ExtremeConservative,ea,VIX,stressed,228,8991.46,39.44,1.91,12.6
GoldPhantom_Pkg_Moderate,ea,DXY,strong dollar,591,42455.32,71.84,3.71,48.0
GoldPhantom_Pkg_Moderate,ea,DXY,weak dollar,516,45928.33,89.01,3.47,52.0
GoldPhantom_Pkg_Moderate,ea,SP500,stocks bear,216,17938.76,83.05,4.09,21.5
GoldPhantom_Pkg_Moderate,ea,SP500,stocks bull,822,65490.45,79.67,3.52,78.5
GoldPhantom_Pkg_Moderate,ea,GOLD,gold downtrend,272,16534.86,60.79,3.35,19.8
GoldPhantom_Pkg_Moderate,ea,GOLD,gold uptrend,766,66894.35,87.33,3.73,80.2
GoldPhantom_Pkg_Moderate,ea,BTC,crypto bear,457,33264.94,72.79,3.22,37.1
GoldPhantom_Pkg_Moderate,ea,BTC,crypto bull,622,56349.13,90.59,3.98,62.9
GoldPhantom_Pkg_Moderate,ea,US10Y,rates falling,413,39780.21,96.32,3.99,45.0
GoldPhantom_Pkg_Moderate,ea,US10Y,rates rising,694,48603.44,70.03,3.26,55.0
GoldPhantom_Pkg_Moderate,ea,OIL,oil downtrend,522,47941.12,91.84,4.02,57.5
GoldPhantom_Pkg_Moderate,ea,OIL,oil uptrend,516,35488.09,68.78,3.22,42.5
GoldPhantom_Pkg_Moderate,ea,VIX,calm,259,19300.98,74.52,3.03,20.9
GoldPhantom_Pkg_Moderate,ea,VIX,normal,679,58164.8,85.66,3.82,62.9
GoldPhantom_Pkg_Moderate,ea,VIX,stressed,228,15037.64,65.95,3.18,16.3
GoldReaper_Pkg_Conservative,ea,DXY,strong dollar,591,57423.95,97.16,3.73,49.7
GoldReaper_Pkg_Conservative,ea,DXY,weak dollar,516,58162.18,112.72,3.6,50.3
GoldReaper_Pkg_Conservative,ea,SP500,stocks bear,216,28518.01,132.03,4.82,26.4
GoldReaper_Pkg_Conservative,ea,SP500,stocks bull,822,79597.03,96.83,3.28,73.6
GoldReaper_Pkg_Conservative,ea,GOLD,gold downtrend,272,20159.08,74.11,3.29,18.6
GoldReaper_Pkg_Conservative,ea,GOLD,gold uptrend,766,87955.96,114.83,3.69,81.4
GoldReaper_Pkg_Conservative,ea,BTC,crypto bear,457,55961.65,122.45,3.96,49.1
