ea_id,strategy,family,symbol,timeframe,force_symbol,run_strategy,balance,risk_pct_target,hist_max_dd,lot_step,net_profit,realized_dd,realized_dd_pct,equity_dd_pct,trades,first_trade,last_trade,win_rate_pct,hist_max_loss_streak,hist_max_loss_streak_days,hist_max_streak_cost,hist_avg_loss_streak,hist_max_win_streak,largest_single_loss,dd_vs_target,report_path
BTC_Reaper_Aggr_1_H1_BTCUSD.a_H1_EVERYTICKREAL,BTC_Reaper_Aggr_1_H1,BTC_UBSonechart_Sets,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,54.0,1080.0,2612.51,1059.91,1.02,1.12,31,2026-05-01 15:34:27,2026-08-12 16:41:14,77.4,2,2,886.49,1.17,10,886.49,0.2,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\BTC_UBSonechart_Sets\BTC_Reaper_Aggr_1_H1_BTCUSD.a_H1_EVERYTICKREAL.htm
BTC_Reaper_Aggr_2_H1_BTCUSD.a_H1_EVERYTICKREAL,BTC_Reaper_Aggr_2_H1,BTC_UBSonechart_Sets,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,40.0,800.0,-1218.23,1311.77,1.31,1.56,24,2026-05-01 15:39:28,2026-08-10 16:36:16,41.7,3,4,564.97,1.75,2,193.63,0.26,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\BTC_UBSonechart_Sets\BTC_Reaper_Aggr_2_H1_BTCUSD.a_H1_EVERYTICKREAL.htm
BTC_Reaper_Aggr_3_H1_BTCUSD.a_H1_EVERYTICKREAL,BTC_Reaper_Aggr_3_H1,BTC_UBSonechart_Sets,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,50.0,1000.0,2121.23,533.8,0.53,0.83,75,2026-05-01 15:39:20,2026-08-11 17:56:41,46.7,6,4,411.16,1.74,3,104.94,0.11,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\BTC_UBSonechart_Sets\BTC_Reaper_Aggr_3_H1_BTCUSD.a_H1_EVERYTICKREAL.htm
BTC_Reaper_Aggr_4_H1_BTCUSD.a_H1_EVERYTICKREAL,BTC_Reaper_Aggr_4_H1,BTC_UBSonechart_Sets,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,285.0,5700.0,-1496.59,2697.64,2.68,2.77,542,2026-05-01 04:58:34,2026-08-12 23:58:59,82.7,6,7,993.01,1.49,26,176.94,0.54,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\BTC_UBSonechart_Sets\BTC_Reaper_Aggr_4_H1_BTCUSD.a_H1_EVERYTICKREAL.htm
BTC_Reaper_Aggr_5_H1_BTCUSD.a_H1_EVERYTICKREAL,BTC_Reaper_Aggr_5_H1,BTC_UBSonechart_Sets,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,130.0,2600.0,2605.03,1322.69,1.31,1.58,58,2026-05-01 16:53:26,2026-08-11 12:47:55,46.6,5,3,1322.69,2.21,5,377.54,0.26,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\BTC_UBSonechart_Sets\BTC_Reaper_Aggr_5_H1_BTCUSD.a_H1_EVERYTICKREAL.htm
BTC_Reaper_Aggr_6_H1_BTCUSD.a_H1_EVERYTICKREAL,BTC_Reaper_Aggr_6_H1,BTC_UBSonechart_Sets,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,100.0,2000.0,-184.78,4150.41,4.13,4.47,329,2026-05-01 05:02:30,2026-08-12 22:47:21,11.9,33,8,1668.38,9.19,3,271.04,0.83,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\BTC_UBSonechart_Sets\BTC_Reaper_Aggr_6_H1_BTCUSD.a_H1_EVERYTICKREAL.htm
BTC_Reaper_Aggr_7_H1_BTCUSD.a_H1_EVERYTICKREAL,BTC_Reaper_Aggr_7_H1,BTC_UBSonechart_Sets,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,148.0,2960.0,-990.07,1752.78,1.75,1.99,278,2026-05-01 05:02:31,2026-08-12 17:15:05,14.0,33,7,1680.63,8.17,3,243.82,0.35,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\BTC_UBSonechart_Sets\BTC_Reaper_Aggr_7_H1_BTCUSD.a_H1_EVERYTICKREAL.htm
BTC_Reaper_Aggr_8_H1_BTCUSD.a_H1_EVERYTICKREAL,BTC_Reaper_Aggr_8_H1,BTC_UBSonechart_Sets,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,151.0,3020.0,-891.6,2863.01,2.84,2.96,157,2026-05-01 06:19:37,2026-08-12 16:31:43,35.0,12,6,1980.34,3.19,4,316.72,0.57,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\BTC_UBSonechart_Sets\BTC_Reaper_Aggr_8_H1_BTCUSD.a_H1_EVERYTICKREAL.htm
BTC_Reaper_Aggr_9_H1_BTCUSD.a_H1_EVERYTICKREAL,BTC_Reaper_Aggr_9_H1,BTC_UBSonechart_Sets,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,50.0,1000.0,1147.49,2280.68,2.22,2.66,26,2026-05-01 16:04:37,2026-08-10 18:24:27,69.2,2,2,1519.06,1.33,6,761.73,0.44,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\BTC_UBSonechart_Sets\BTC_Reaper_Aggr_9_H1_BTCUSD.a_H1_EVERYTICKREAL.htm
BitcoinReaper_10_H1_BTCUSD.a_H1_EVERYTICKREAL,BitcoinReaper_10_H1,BTC_UBSonechart_Sets,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,50.0,1000.0,2249.41,1023.81,1.02,1.18,108,2026-05-01 06:19:37,2026-08-11 21:33:31,41.7,7,9,667.23,2.42,4,217.72,0.2,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\BTC_UBSonechart_Sets\BitcoinReaper_10_H1_BTCUSD.a_H1_EVERYTICKREAL.htm
BitcoinReaper_1_H1_BTCUSD.a_H1_EVERYTICKREAL,BitcoinReaper_1_H1,BTC_UBSonechart_Sets,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,54.0,1080.0,7114.8,1926.89,1.77,2.17,30,2026-05-01 16:53:13,2026-08-12 16:41:14,76.7,1,2,889.3,1.0,14,889.3,0.35,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\BTC_UBSonechart_Sets\BitcoinReaper_1_H1_BTCUSD.a_H1_EVERYTICKREAL.htm
BitcoinReaper_2_H1_BTCUSD.a_H1_EVERYTICKREAL,BitcoinReaper_2_H1,BTC_UBSonechart_Sets,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,40.0,800.0,-105.25,1323.79,1.31,1.94,24,2026-05-01 16:34:04,2026-08-10 16:37:01,20.8,7,7,1323.79,3.8,1,195.06,0.26,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\BTC_UBSonechart_Sets\BitcoinReaper_2_H1_BTCUSD.a_H1_EVERYTICKREAL.htm
BitcoinReaper_3_H1_BTCUSD.a_H1_EVERYTICKREAL,BitcoinReaper_3_H1,BTC_UBSonechart_Sets,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,50.0,1000.0,846.51,1382.81,1.35,1.82,75,2026-05-01 16:10:37,2026-08-11 18:02:55,20.0,12,8,1222.91,4.29,2,104.94,0.27,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\BTC_UBSonechart_Sets\BitcoinReaper_3_H1_BTCUSD.a_H1_EVERYTICKREAL.htm
BitcoinReaper_4_H1_BTCUSD.a_H1_EVERYTICKREAL,BitcoinReaper_4_H1,BTC_UBSonechart_Sets,BTCUSD.a,H1,BTCUSD.a,1,100000,5.0,285.0,5700.0,-3167.37,3821.43,3.8,4.05,537,2026-05-01 05:02:21,2026-08-12 23:58:59,71.3,6,5,992.61,1.88,17,178.83,0.76,C:\Users\pc\AppData\Local\Temp\claude\C--BulkBackTest\42d0231a-2e8f-4695-a7a4-77ae63b808cc\scratchpad\compile_stage\tick\BTC_UBSonechart_Sets\BitcoinReaper_4_H1_BTCUSD.a_H1_EVERYTICKREAL.htm
