entity,type,indicator,state,days,total_pnl,avg_daily,sharpe,pnl_share_pct
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_EVERYTICKREAL,ea,DXY,strong dollar,66,575.41,8.72,1.94,117.0
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_EVERYTICKREAL,ea,DXY,weak dollar,7,-83.49,-11.93,-1.83,-17.0
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_EVERYTICKREAL,ea,SP500,stocks bull,73,491.92,6.74,1.42,100.0
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_EVERYTICKREAL,ea,GOLD,gold downtrend,50,847.96,16.96,3.57,172.4
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_EVERYTICKREAL,ea,GOLD,gold uptrend,23,-356.04,-15.48,-3.5,-72.4
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_EVERYTICKREAL,ea,BTC,crypto bear,73,491.92,6.74,1.42,100.0
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_EVERYTICKREAL,ea,US10Y,rates rising,73,491.92,6.74,1.42,100.0
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_EVERYTICKREAL,ea,OIL,oil downtrend,17,235.24,13.84,7.99,47.8
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_EVERYTICKREAL,ea,OIL,oil uptrend,56,256.68,4.58,0.86,52.2
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_EVERYTICKREAL,ea,VIX,calm,1,134.55,134.55,0.0,27.4
AdvScal_eurusd_H1_SL17_EURUSD.a_H1_EVERYTICKREAL,ea,VIX,normal,72,357.37,4.96,1.06,72.6
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_EVERYTICKREAL,ea,DXY,strong dollar,66,-153.78,-2.33,-0.34,78.5
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_EVERYTICKREAL,ea,DXY,weak dollar,7,-42.01,-6.0,-0.65,21.5
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_EVERYTICKREAL,ea,SP500,stocks bull,73,-195.79,-2.68,-0.38,100.0
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_EVERYTICKREAL,ea,GOLD,gold downtrend,50,523.84,10.48,1.56,-267.6
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_EVERYTICKREAL,ea,GOLD,gold uptrend,23,-719.63,-31.29,-4.22,367.6
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_EVERYTICKREAL,ea,BTC,crypto bear,73,-195.79,-2.68,-0.38,100.0
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_EVERYTICKREAL,ea,US10Y,rates rising,73,-195.79,-2.68,-0.38,100.0
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_EVERYTICKREAL,ea,OIL,oil downtrend,17,-3.53,-0.21,-0.04,1.8
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_EVERYTICKREAL,ea,OIL,oil uptrend,56,-192.26,-3.43,-0.46,98.2
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_EVERYTICKREAL,ea,VIX,calm,1,166.84,166.84,0.0,-85.2
AdvScalp_eurusd_H1_SL14_EURUSD.a_H1_EVERYTICKREAL,ea,VIX,normal,72,-362.63,-5.04,-0.72,185.2
AdvScalp_eurusd_H1_SL18_EURUSD.a_H1_EVERYTICKREAL,ea,DXY,strong dollar,67,1029.22,15.36,5.41,103.2
AdvScalp_eurusd_H1_SL18_EURUSD.a_H1_EVERYTICKREAL,ea,DXY,weak dollar,10,-32.33,-3.23,-0.81,-3.2
AdvScalp_eurusd_H1_SL18_EURUSD.a_H1_EVERYTICKREAL,ea,SP500,stocks bull,77,996.89,12.95,4.26,100.0
AdvScalp_eurusd_H1_SL18_EURUSD.a_H1_EVERYTICKREAL,ea,GOLD,gold downtrend,50,790.72,15.81,4.32,79.3
AdvScalp_eurusd_H1_SL18_EURUSD.a_H1_EVERYTICKREAL,ea,GOLD,gold uptrend,27,206.17,7.64,6.69,20.7
AdvScalp_eurusd_H1_SL18_EURUSD.a_H1_EVERYTICKREAL,ea,BTC,crypto bear,77,996.89,12.95,4.26,100.0
AdvScalp_eurusd_H1_SL18_EURUSD.a_H1_EVERYTICKREAL,ea,US10Y,rates rising,77,996.89,12.95,4.26,100.0
AdvScalp_eurusd_H1_SL18_EURUSD.a_H1_EVERYTICKREAL,ea,OIL,oil downtrend,17,-55.69,-3.28,-1.2,-5.6
AdvScalp_eurusd_H1_SL18_EURUSD.a_H1_EVERYTICKREAL,ea,OIL,oil uptrend,60,1052.58,17.54,5.74,105.6
AdvScalp_eurusd_H1_SL18_EURUSD.a_H1_EVERYTICKREAL,ea,VIX,calm,1,101.23,101.23,0.0,10.2
AdvScalp_eurusd_H1_SL18_EURUSD.a_H1_EVERYTICKREAL,ea,VIX,normal,76,895.66,11.79,3.94,89.8
AdvScalp_eurusd_H1_SL22_EURUSD.a_H1_EVERYTICKREAL,ea,DXY,strong dollar,67,992.48,14.81,1.4,138.7
AdvScalp_eurusd_H1_SL22_EURUSD.a_H1_EVERYTICKREAL,ea,DXY,weak dollar,10,-277.02,-27.7,-2.11,-38.7
AdvScalp_eurusd_H1_SL22_EURUSD.a_H1_EVERYTICKREAL,ea,SP500,stocks bull,77,715.46,9.29,0.85,100.0
AdvScalp_eurusd_H1_SL22_EURUSD.a_H1_EVERYTICKREAL,ea,GOLD,gold downtrend,50,883.1,17.66,1.45,123.4
AdvScalp_eurusd_H1_SL22_EURUSD.a_H1_EVERYTICKREAL,ea,GOLD,gold uptrend,27,-167.64,-6.21,-0.78,-23.4
AdvScalp_eurusd_H1_SL22_EURUSD.a_H1_EVERYTICKREAL,ea,BTC,crypto bear,77,715.46,9.29,0.85,100.0
AdvScalp_eurusd_H1_SL22_EURUSD.a_H1_EVERYTICKREAL,ea,US10Y,rates rising,77,715.46,9.29,0.85,100.0
AdvScalp_eurusd_H1_SL22_EURUSD.a_H1_EVERYTICKREAL,ea,OIL,oil downtrend,17,-285.45,-16.79,-2.06,-39.9
AdvScalp_eurusd_H1_SL22_EURUSD.a_H1_EVERYTICKREAL,ea,OIL,oil uptrend,60,1000.91,16.68,1.44,139.9
AdvScalp_eurusd_H1_SL22_EURUSD.a_H1_EVERYTICKREAL,ea,VIX,calm,1,189.74,189.74,0.0,26.5
AdvScalp_eurusd_H1_SL22_EURUSD.a_H1_EVERYTICKREAL,ea,VIX,normal,76,525.72,6.92,0.63,73.5
AdvScalp_gbpusd_H1_GBPUSD.a_H1_EVERYTICKREAL,ea,DXY,strong dollar,69,3987.84,57.79,8.38,83.7
AdvScalp_gbpusd_H1_GBPUSD.a_H1_EVERYTICKREAL,ea,DXY,weak dollar,5,777.6,155.52,18.49,16.3
