date,DXY,SP500,GOLD,BTC,US10Y,OIL,VIX
2026-05-01,weak dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-05-03,weak dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-05-04,weak dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-05-05,strong dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-05-06,weak dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-05-07,weak dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-05-08,weak dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-05-09,weak dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-05-11,weak dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-05-12,weak dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-05-13,strong dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-05-14,strong dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-05-15,strong dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-05-16,strong dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-05-18,strong dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-05-19,strong dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-05-20,strong dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-05-21,strong dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-05-22,strong dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-05-25,strong dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-05-26,strong dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-05-27,strong dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-05-28,strong dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-05-29,strong dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-06-01,strong dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-06-02,strong dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-06-03,strong dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-06-04,strong dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,normal
2026-06-05,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-06-08,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-06-09,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-06-10,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-06-11,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-06-12,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-06-15,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-06-16,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-06-17,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-06-18,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
